ID_produktu;ID_zavodu;Datum;Mnozstvi
ND102;ZP20;5.11.2017;5
ND120;ZP20;26.8.2017;24
ND120;ZP10;27.9.2017;26
ND105;ZP30;21.4.2017;3
ND123;ZP30;11.7.2018;19
ND104;ZP20;5.4.2017;3
ND104;ZP20;30.6.2018;20
ND116;ZP30;16.12.2017;19
ND102;ZP20;9.9.2017;3
ND120;ZP30;30.6.2018;22
ND115;ZP30;13.2.2017;30
ND118;ZP20;26.6.2017;16
ND105;ZP10;27.10.2017;18
ND115;ZP10;8.6.2017;5
ND122;ZP10;6.5.2018;17
ND120;ZP10;13.8.2017;26
ND120;ZP10;11.6.2018;25
ND122;ZP20;15.4.2018;12
ND121;ZP30;24.9.2017;19
ND107;ZP10;26.3.2018;11
ND107;ZP10;3.12.2017;21
ND108;ZP10;3.7.2018;11
ND119;ZP30;19.9.2017;29
ND113;ZP10;6.8.2017;9
ND103;ZP30;26.11.2017;11
ND119;ZP30;16.8.2017;6
ND102;ZP30;14.8.2018;28
ND107;ZP20;7.11.2017;20
ND101;ZP20;11.6.2018;20
ND113;ZP20;13.3.2017;16
ND112;ZP30;12.7.2017;8
ND118;ZP30;6.1.2018;28
ND104;ZP10;24.4.2018;22
ND122;ZP30;2.5.2017;20
ND105;ZP10;11.5.2017;17
ND108;ZP30;4.12.2017;26
ND116;ZP10;4.1.2018;25
ND118;ZP30;19.1.2017;30
ND124;ZP30;25.12.2017;21
ND114;ZP20;11.11.2017;11
ND120;ZP30;16.8.2018;10
ND102;ZP10;15.11.2017;14
ND113;ZP20;5.5.2017;10
ND119;ZP30;18.1.2017;17
ND107;ZP20;20.8.2017;23
ND123;ZP30;27.3.2018;20
ND102;ZP30;25.1.2018;27
ND114;ZP10;12.6.2017;2
ND116;ZP30;12.7.2018;12
ND123;ZP20;16.6.2018;21
ND107;ZP20;31.5.2017;15
ND113;ZP30;10.12.2017;25
ND102;ZP30;4.3.2018;26
ND118;ZP30;14.9.2017;10
ND116;ZP30;30.6.2018;8
ND102;ZP10;13.7.2017;22
ND106;ZP10;19.1.2018;24
ND109;ZP30;5.3.2017;14
ND113;ZP30;26.4.2018;7
ND110;ZP30;18.3.2017;2
ND120;ZP10;3.2.2018;16
ND101;ZP20;31.1.2017;9
ND108;ZP10;31.3.2017;3
ND124;ZP10;28.7.2018;25
ND111;ZP10;20.1.2018;21
ND112;ZP30;22.9.2017;12
ND123;ZP20;5.2.2018;4
ND116;ZP20;17.9.2017;26
ND108;ZP30;5.2.2017;15
ND121;ZP10;14.5.2018;22
ND102;ZP30;8.11.2017;10
ND108;ZP30;21.3.2017;28
ND114;ZP20;2.8.2017;2
ND124;ZP20;10.8.2017;26
ND124;ZP20;28.2.2017;21
ND115;ZP30;15.5.2017;4
ND110;ZP30;23.4.2017;9
ND117;ZP30;25.6.2017;1
ND122;ZP30;19.10.2017;6
ND117;ZP20;15.5.2017;10
ND113;ZP20;1.2.2018;15
ND110;ZP30;17.12.2017;17
ND118;ZP10;14.3.2017;18
ND113;ZP20;22.5.2017;6
ND110;ZP30;19.11.2017;9
ND109;ZP10;21.5.2017;15
ND120;ZP20;2.2.2017;13
ND103;ZP20;4.4.2018;17
ND123;ZP10;25.2.2017;27
ND113;ZP30;11.12.2017;23
ND112;ZP20;1.6.2018;3
ND103;ZP20;6.8.2018;13
ND123;ZP30;29.7.2017;23
ND124;ZP20;8.7.2018;19
ND121;ZP10;24.6.2018;29
ND124;ZP10;16.6.2018;1
ND115;ZP10;4.3.2018;24
ND121;ZP20;5.1.2017;17
ND113;ZP10;29.7.2018;10
ND118;ZP20;19.5.2018;29
ND102;ZP10;7.7.2017;22
ND124;ZP10;25.8.2018;15
ND111;ZP20;29.5.2017;29
ND112;ZP20;11.11.2017;6
ND120;ZP30;4.4.2018;21
ND111;ZP30;20.12.2017;3
ND116;ZP20;24.5.2018;1
ND102;ZP20;29.6.2017;2
ND104;ZP10;30.5.2018;26
ND123;ZP30;26.5.2017;23
ND119;ZP20;13.10.2017;27
ND118;ZP20;21.8.2018;10
ND102;ZP30;8.3.2018;1
ND117;ZP10;5.5.2017;20
ND118;ZP10;4.8.2017;28
ND112;ZP20;12.6.2017;11
ND106;ZP20;4.1.2017;12
ND109;ZP20;8.7.2017;2
ND110;ZP10;11.1.2017;6
ND115;ZP20;4.6.2017;11
ND103;ZP10;1.6.2017;13
ND118;ZP30;19.5.2018;28
ND124;ZP30;30.8.2018;1
ND122;ZP10;19.4.2017;23
ND103;ZP20;6.7.2017;11
ND115;ZP30;17.3.2017;10
ND123;ZP20;28.8.2017;18
ND123;ZP30;29.5.2018;2
ND103;ZP10;15.1.2018;23
ND108;ZP30;28.12.2017;28
ND120;ZP10;7.4.2018;7
ND110;ZP20;20.5.2017;21
ND102;ZP30;2.6.2017;26
ND117;ZP20;8.1.2018;21
ND101;ZP20;18.10.2017;10
ND123;ZP20;23.1.2017;10
ND107;ZP30;16.11.2017;19
ND124;ZP10;25.5.2017;6
ND104;ZP10;28.1.2017;5
ND119;ZP30;5.7.2018;30
ND109;ZP30;15.11.2017;11
ND104;ZP20;9.10.2017;3
ND105;ZP30;19.6.2018;26
ND123;ZP10;18.2.2018;8
ND108;ZP10;23.8.2017;3
ND112;ZP30;26.4.2017;2
ND122;ZP30;25.8.2018;28
ND101;ZP20;16.10.2017;10
ND103;ZP10;18.6.2018;4
ND102;ZP10;3.6.2018;28
ND115;ZP10;8.2.2017;11
ND119;ZP10;21.3.2018;9
ND101;ZP10;3.11.2017;17
ND120;ZP30;30.10.2017;12
ND123;ZP20;31.7.2018;18
ND118;ZP20;7.10.2017;27
ND120;ZP10;23.8.2018;30
ND120;ZP10;1.7.2018;13
ND101;ZP10;16.6.2018;27
ND115;ZP30;17.4.2018;4
ND105;ZP20;18.4.2018;28
ND109;ZP20;15.1.2017;1
ND105;ZP20;18.10.2017;10
ND112;ZP30;18.8.2018;1
ND107;ZP30;1.4.2018;21
ND114;ZP30;21.4.2018;7
ND103;ZP20;25.5.2017;3
ND112;ZP10;21.8.2017;22
ND119;ZP10;26.4.2017;30
ND124;ZP20;16.3.2017;13
ND121;ZP20;10.4.2018;1
ND107;ZP30;5.6.2018;12
ND118;ZP20;17.11.2017;23
ND107;ZP30;26.3.2018;16
ND103;ZP20;1.11.2017;22
ND123;ZP20;19.3.2018;28
ND107;ZP30;21.1.2018;26
ND110;ZP10;27.3.2018;28
ND106;ZP20;6.5.2018;15
ND119;ZP30;19.6.2017;18
ND114;ZP20;11.3.2017;9
ND121;ZP30;27.2.2017;8
ND122;ZP10;5.4.2017;1
ND114;ZP20;5.1.2018;23
ND118;ZP10;7.7.2018;7
ND121;ZP10;11.3.2017;16
ND111;ZP20;1.4.2017;2
ND102;ZP10;12.3.2018;12
ND118;ZP30;21.3.2018;22
ND102;ZP20;5.4.2017;28
ND102;ZP10;20.3.2017;11
ND111;ZP30;27.1.2017;22
ND107;ZP10;16.1.2018;28
ND109;ZP10;18.6.2017;24
ND116;ZP30;4.9.2017;8
ND109;ZP20;24.2.2017;14
ND123;ZP20;27.7.2018;13
ND101;ZP10;19.12.2017;17
ND120;ZP10;6.1.2018;24
ND118;ZP10;23.10.2017;7
ND113;ZP30;22.9.2017;14
ND110;ZP20;23.9.2017;19
ND118;ZP20;25.2.2018;7
ND106;ZP30;15.4.2018;1
ND120;ZP20;13.8.2018;17
ND101;ZP20;29.8.2017;24
ND113;ZP20;15.4.2017;27
ND108;ZP20;12.3.2017;21
ND113;ZP20;3.3.2018;13
ND115;ZP30;28.7.2017;19
ND122;ZP30;28.8.2017;4
ND107;ZP30;26.2.2017;16
ND118;ZP30;22.7.2018;17
ND102;ZP30;4.7.2017;29
ND106;ZP30;26.6.2018;30
ND114;ZP20;19.2.2018;21
ND102;ZP10;6.5.2018;8
ND118;ZP20;17.3.2018;27
ND123;ZP10;28.4.2018;23
ND121;ZP30;11.10.2017;17
ND122;ZP30;9.4.2017;19
ND124;ZP10;12.8.2017;28
ND119;ZP20;24.2.2017;3
ND110;ZP20;30.11.2017;26
ND118;ZP10;11.6.2018;13
ND123;ZP20;22.1.2018;6
ND115;ZP20;23.1.2018;19
ND105;ZP10;18.6.2017;11
ND103;ZP20;22.10.2017;27
ND112;ZP10;30.8.2017;29
ND109;ZP20;25.1.2018;28
ND105;ZP20;26.3.2018;14
ND102;ZP30;31.1.2017;10
ND109;ZP20;1.4.2017;11
ND113;ZP20;27.1.2017;12
ND108;ZP20;8.8.2017;6
ND114;ZP30;25.6.2018;27
ND104;ZP30;30.8.2018;17
ND116;ZP10;24.3.2017;23
ND106;ZP10;2.1.2018;21
ND114;ZP20;13.9.2017;3
ND115;ZP10;19.6.2017;22
ND107;ZP30;1.2.2018;8
ND124;ZP10;29.4.2018;14
ND116;ZP10;6.11.2017;21
ND115;ZP30;13.3.2017;8
ND110;ZP10;26.11.2017;14
ND124;ZP30;21.3.2017;13
ND108;ZP20;13.6.2018;12
ND123;ZP30;11.3.2017;22
ND123;ZP10;22.2.2018;17
ND107;ZP10;25.3.2018;22
ND107;ZP30;11.7.2017;22
ND116;ZP20;29.12.2017;18
ND108;ZP30;11.7.2018;2
ND105;ZP10;4.7.2017;6
ND108;ZP20;23.9.2017;23
ND112;ZP30;23.8.2017;7
ND107;ZP30;15.9.2017;4
ND116;ZP20;16.6.2017;5
ND112;ZP10;4.10.2017;3
ND101;ZP10;23.5.2017;25
ND102;ZP30;7.8.2017;22
ND107;ZP10;2.5.2018;13
ND117;ZP20;12.1.2018;25
ND122;ZP30;18.11.2017;26
ND119;ZP20;19.9.2017;14
ND118;ZP10;27.1.2018;22
ND119;ZP30;11.6.2017;9
ND111;ZP20;15.9.2017;12
ND111;ZP20;8.2.2017;16
ND113;ZP20;5.3.2017;6
ND115;ZP10;18.8.2018;14
ND120;ZP10;30.4.2018;26
ND108;ZP20;22.7.2018;9
ND110;ZP20;21.12.2017;23
ND107;ZP20;17.11.2017;2
ND113;ZP20;17.5.2018;12
ND116;ZP30;25.1.2018;6
ND119;ZP10;9.1.2018;1
ND123;ZP20;24.4.2018;28
ND110;ZP10;19.5.2018;3
ND116;ZP10;21.3.2018;23
ND112;ZP10;8.6.2018;5
ND106;ZP10;7.8.2017;27
ND104;ZP20;11.3.2017;21
ND115;ZP10;15.3.2018;29
ND113;ZP20;29.10.2017;30
ND124;ZP20;5.11.2017;29
ND101;ZP10;4.5.2017;16
ND122;ZP30;25.2.2017;29
ND104;ZP10;27.1.2017;25
ND107;ZP20;29.7.2018;14
ND111;ZP30;9.11.2017;24
ND111;ZP20;12.5.2017;2
ND107;ZP20;27.6.2017;8
ND113;ZP30;4.12.2017;20
ND113;ZP30;8.4.2017;17
ND124;ZP10;4.3.2017;17
ND123;ZP10;28.5.2017;25
ND113;ZP20;13.3.2018;1
ND116;ZP30;2.9.2017;14
ND108;ZP20;10.11.2017;16
ND112;ZP30;25.9.2017;21
ND120;ZP10;30.1.2018;28
ND118;ZP20;8.3.2018;8
ND104;ZP10;23.3.2018;9
ND113;ZP30;18.11.2017;22
ND121;ZP10;18.12.2017;25
ND116;ZP30;11.3.2017;13
ND118;ZP20;18.9.2017;2
ND124;ZP10;30.1.2017;20
ND108;ZP30;17.8.2017;30
ND117;ZP20;30.3.2018;20
ND119;ZP30;3.8.2017;30
ND107;ZP10;3.1.2017;2
ND112;ZP20;29.11.2017;19
ND111;ZP20;15.8.2018;3
ND114;ZP30;13.4.2018;21
ND110;ZP20;24.3.2018;20
ND112;ZP10;25.1.2018;12
ND111;ZP10;5.5.2018;16
ND111;ZP30;18.6.2017;13
ND114;ZP30;14.2.2017;15
ND117;ZP30;4.2.2018;14
ND116;ZP30;7.1.2018;2
ND113;ZP30;7.5.2018;9
ND110;ZP20;1.3.2018;21
ND108;ZP20;30.8.2018;15
ND122;ZP30;12.8.2017;19
ND102;ZP20;25.1.2018;30
ND102;ZP10;2.7.2018;3
ND105;ZP10;21.4.2018;29
ND106;ZP20;29.5.2017;29
ND122;ZP10;21.3.2017;14
ND109;ZP20;25.6.2017;11
ND121;ZP10;14.5.2017;15
ND114;ZP20;4.12.2017;17
ND113;ZP10;19.5.2018;26
ND105;ZP30;18.7.2018;14
ND124;ZP10;15.9.2017;12
ND112;ZP10;15.12.2017;6
ND110;ZP10;29.4.2017;8
ND117;ZP20;1.1.2018;10
ND122;ZP20;17.10.2017;5
ND111;ZP20;4.5.2017;3
ND114;ZP10;1.9.2017;13
ND107;ZP30;26.6.2017;18
ND115;ZP20;22.12.2017;8
ND111;ZP20;2.2.2017;27
ND124;ZP30;2.11.2017;18
ND101;ZP30;4.5.2018;24
ND104;ZP20;28.8.2018;28
ND123;ZP30;16.5.2018;11
ND116;ZP20;7.9.2017;15
ND105;ZP10;10.2.2018;25
ND110;ZP10;31.10.2017;30
ND109;ZP30;5.7.2018;17
ND121;ZP30;28.4.2018;21
ND111;ZP30;9.3.2017;15
ND111;ZP30;25.3.2017;16
ND104;ZP20;9.11.2017;1
ND123;ZP20;19.6.2018;2
ND122;ZP30;14.11.2017;17
ND121;ZP30;4.9.2017;30
ND116;ZP10;7.12.2017;25
ND113;ZP20;19.2.2017;12
ND117;ZP10;14.3.2018;1
ND110;ZP20;9.9.2017;25
ND115;ZP10;9.12.2017;7
ND102;ZP10;1.10.2017;14
ND111;ZP30;8.4.2017;26
ND114;ZP10;25.5.2017;27
ND108;ZP20;18.4.2018;19
ND104;ZP20;10.11.2017;19
ND124;ZP30;20.5.2018;8
ND109;ZP10;28.1.2017;7
ND118;ZP20;15.2.2017;27
ND111;ZP30;30.6.2018;23
ND104;ZP10;30.4.2017;17
ND105;ZP10;13.12.2017;9
ND111;ZP10;5.9.2017;7
ND122;ZP10;9.8.2018;10
ND106;ZP30;14.4.2017;7
ND109;ZP20;25.11.2017;26
ND115;ZP20;17.7.2017;14
ND116;ZP20;20.6.2018;19
ND116;ZP10;6.4.2017;7
ND107;ZP10;1.1.2018;8
ND121;ZP20;27.1.2017;19
ND114;ZP30;6.2.2017;24
ND123;ZP10;27.9.2017;30
ND101;ZP10;15.9.2017;25
ND109;ZP20;25.8.2018;3
ND123;ZP10;8.7.2017;28
ND103;ZP30;20.3.2017;11
ND120;ZP10;15.11.2017;25
ND124;ZP10;8.5.2018;9
ND111;ZP10;13.7.2017;2
ND102;ZP20;28.11.2017;21
ND118;ZP10;27.3.2017;26
ND115;ZP10;18.9.2017;28
ND116;ZP20;25.5.2018;14
ND110;ZP10;29.3.2018;16
ND101;ZP30;4.8.2017;16
ND115;ZP30;8.7.2017;23
ND114;ZP30;16.7.2018;6
ND107;ZP20;2.6.2018;20
ND113;ZP10;24.12.2017;20
ND111;ZP20;10.10.2017;8
ND104;ZP20;15.7.2018;8
ND103;ZP30;15.7.2018;10
ND119;ZP10;30.8.2017;28
ND115;ZP20;8.5.2018;16
ND120;ZP10;1.7.2017;30
ND115;ZP10;13.2.2017;24
ND124;ZP10;17.9.2017;9
ND110;ZP10;16.9.2017;4
ND116;ZP20;21.8.2018;28
ND119;ZP20;22.5.2018;9
ND106;ZP30;23.4.2017;12
ND114;ZP30;16.8.2017;8
ND107;ZP30;28.12.2017;22
ND116;ZP20;29.4.2018;13
ND103;ZP10;3.10.2017;14
ND115;ZP20;11.1.2018;17
ND119;ZP30;22.11.2017;6
ND106;ZP10;12.12.2017;10
ND124;ZP10;2.1.2018;7
ND124;ZP30;24.3.2018;19
ND104;ZP20;4.8.2017;10
ND117;ZP30;17.3.2018;21
ND120;ZP20;3.5.2017;13
ND110;ZP30;9.5.2018;24
ND110;ZP30;1.12.2017;23
ND122;ZP20;20.1.2018;5
ND112;ZP20;16.2.2017;20
ND104;ZP30;4.7.2018;21
ND116;ZP30;15.4.2018;9
ND110;ZP10;14.5.2017;8
ND120;ZP10;24.3.2018;12
ND114;ZP20;15.11.2017;5
ND102;ZP10;23.4.2017;5
ND119;ZP20;28.9.2017;23
ND114;ZP10;7.3.2017;25
ND122;ZP10;18.6.2018;10
ND107;ZP30;14.2.2018;25
ND106;ZP20;23.12.2017;22
ND119;ZP30;5.4.2018;14
ND117;ZP20;27.6.2017;20
ND103;ZP20;23.9.2017;25
ND106;ZP30;26.9.2017;8
ND111;ZP30;31.3.2018;4
ND117;ZP10;8.4.2018;26
ND113;ZP10;31.7.2018;27
ND101;ZP10;15.7.2017;4
ND104;ZP10;23.6.2018;24
ND123;ZP30;10.2.2018;10
ND113;ZP20;29.7.2018;11
ND105;ZP10;1.5.2018;15
ND124;ZP20;8.12.2017;28
ND108;ZP20;24.5.2018;28
ND108;ZP20;2.9.2017;26
ND122;ZP10;11.8.2018;30
ND106;ZP20;11.1.2018;18
ND112;ZP10;15.6.2018;30
ND118;ZP10;23.3.2018;6
ND101;ZP30;25.6.2018;25
ND105;ZP20;28.1.2017;5
ND124;ZP30;12.3.2017;3
ND121;ZP10;16.2.2018;14
ND123;ZP20;14.2.2018;21
ND118;ZP30;5.2.2017;8
ND103;ZP30;11.7.2018;1
ND124;ZP10;24.5.2017;3
ND124;ZP30;29.8.2018;19
ND105;ZP30;16.10.2017;20
ND117;ZP20;26.7.2018;17
ND112;ZP10;25.7.2018;14
ND109;ZP30;29.11.2017;9
ND110;ZP10;4.6.2017;10
ND104;ZP30;14.2.2018;1
ND120;ZP20;13.1.2017;10
ND122;ZP30;23.8.2017;6
ND101;ZP30;11.4.2018;27
ND124;ZP10;17.3.2017;27
ND114;ZP30;29.6.2017;4
ND111;ZP20;21.9.2017;23
ND113;ZP10;31.12.2017;22
ND118;ZP20;19.6.2018;10
ND112;ZP30;26.10.2017;7
ND105;ZP10;29.12.2017;16
ND108;ZP30;2.3.2018;27
ND102;ZP10;19.9.2017;21
ND122;ZP10;1.6.2017;10
ND114;ZP30;12.6.2018;15
ND104;ZP10;14.4.2018;30
ND115;ZP10;18.2.2017;25
ND109;ZP10;28.6.2017;23
ND104;ZP10;9.5.2017;19
ND105;ZP20;11.9.2017;1
ND123;ZP30;1.2.2017;30
ND121;ZP10;3.8.2017;13
ND103;ZP30;10.6.2017;3
ND116;ZP20;23.2.2018;30
ND113;ZP30;14.3.2017;22
ND111;ZP10;8.4.2018;17
ND121;ZP30;24.4.2017;27
ND108;ZP20;7.8.2017;9
ND110;ZP20;2.4.2017;10
ND124;ZP10;11.5.2018;6
ND101;ZP10;3.2.2018;23
ND115;ZP10;14.4.2018;17
ND112;ZP30;13.2.2018;16
ND108;ZP30;10.5.2018;19
ND101;ZP10;24.3.2017;14
ND102;ZP10;4.8.2017;16
ND101;ZP10;16.5.2017;10
ND116;ZP30;14.12.2017;5
ND107;ZP10;4.2.2017;5
ND106;ZP10;10.5.2017;24
ND101;ZP20;23.8.2017;10
ND124;ZP30;2.6.2017;20
ND117;ZP20;30.1.2017;14
ND107;ZP20;16.7.2017;1
ND106;ZP30;1.1.2017;14
ND105;ZP20;3.1.2017;25
ND108;ZP20;3.9.2017;17
ND113;ZP10;12.6.2018;14
ND104;ZP30;18.3.2017;24
ND122;ZP20;15.1.2017;29
ND119;ZP10;5.8.2018;7
ND102;ZP20;6.6.2017;26
ND111;ZP30;14.4.2018;8
ND120;ZP30;28.1.2017;2
ND117;ZP10;3.7.2018;4
ND106;ZP30;4.4.2018;12
ND115;ZP20;1.9.2017;12
ND106;ZP20;13.9.2017;3
ND101;ZP30;27.3.2018;24
ND120;ZP20;25.6.2018;11
ND109;ZP30;15.4.2017;19
ND106;ZP20;7.5.2017;5
ND104;ZP10;8.3.2017;16
ND104;ZP20;18.2.2017;4
ND124;ZP20;20.10.2017;1
ND106;ZP10;10.6.2017;15
ND104;ZP10;26.12.2017;5
ND101;ZP20;15.12.2017;21
ND107;ZP20;24.8.2018;29
ND104;ZP30;10.6.2018;23
ND114;ZP10;27.4.2017;5
ND109;ZP10;27.6.2018;15
ND114;ZP20;12.4.2017;17
ND108;ZP30;28.5.2018;19
ND108;ZP10;1.6.2017;22
ND117;ZP20;28.5.2018;9
ND107;ZP30;28.1.2017;26
ND111;ZP30;26.2.2017;1
ND109;ZP30;19.10.2017;15
ND101;ZP20;2.8.2018;30
ND101;ZP30;19.11.2017;25
ND121;ZP10;1.2.2018;22
ND111;ZP30;11.1.2017;3
ND117;ZP10;4.7.2018;18
ND121;ZP20;1.6.2018;8
ND107;ZP10;15.3.2018;22
ND110;ZP20;7.3.2018;3
ND110;ZP10;14.3.2018;30
ND124;ZP20;10.2.2017;26
ND117;ZP30;5.8.2018;13
ND108;ZP10;13.7.2017;4
ND103;ZP20;31.1.2017;13
ND123;ZP10;11.5.2017;5
ND121;ZP20;9.9.2017;10
ND118;ZP20;15.7.2017;29
ND104;ZP20;25.7.2018;24
ND113;ZP10;29.1.2017;22
ND105;ZP20;2.7.2018;18
ND112;ZP20;7.11.2017;21
ND116;ZP20;19.7.2018;24
ND111;ZP20;22.10.2017;25
ND122;ZP10;10.6.2017;1
ND102;ZP10;15.9.2017;9
ND117;ZP30;28.3.2017;26
ND107;ZP10;17.4.2017;18
ND122;ZP20;23.8.2017;24
ND102;ZP10;26.10.2017;23
ND122;ZP30;4.6.2018;11
ND113;ZP20;28.10.2017;13
ND109;ZP30;24.2.2017;14
ND102;ZP30;3.1.2018;3
ND111;ZP30;28.4.2018;25
ND104;ZP10;23.4.2017;10
ND110;ZP30;14.12.2017;30
ND119;ZP30;16.11.2017;15
ND114;ZP20;7.4.2018;11
ND111;ZP10;2.5.2018;30
ND117;ZP20;13.11.2017;2
ND122;ZP10;12.3.2017;16
ND117;ZP30;27.2.2018;12
ND114;ZP30;17.9.2017;12
ND123;ZP30;6.6.2018;4
ND105;ZP30;15.6.2018;30
ND112;ZP20;14.9.2017;13
ND115;ZP20;4.8.2017;27
ND110;ZP20;26.6.2018;1
ND116;ZP20;14.6.2018;18
ND102;ZP20;25.8.2018;23
ND115;ZP30;27.10.2017;1
ND116;ZP10;24.4.2018;9
ND118;ZP10;22.8.2017;10
ND111;ZP20;30.9.2017;23
ND102;ZP30;14.2.2018;16
ND110;ZP30;12.12.2017;18
ND118;ZP30;12.4.2017;23
ND103;ZP10;28.6.2018;19
ND112;ZP30;13.2.2017;7
ND114;ZP10;16.2.2018;30
ND122;ZP30;29.8.2017;16
ND105;ZP10;14.12.2017;27
ND112;ZP20;29.7.2017;23
ND114;ZP20;28.6.2018;11
ND122;ZP20;11.9.2017;11
ND123;ZP30;3.8.2018;20
ND114;ZP20;27.11.2017;17
ND111;ZP10;26.2.2018;28
ND119;ZP20;31.10.2017;12
ND102;ZP10;8.5.2017;14
ND123;ZP20;28.12.2017;27
ND121;ZP30;27.3.2018;21
ND116;ZP30;16.4.2017;23
ND101;ZP30;30.6.2018;21
ND117;ZP20;4.3.2017;13
ND111;ZP20;2.12.2017;3
ND121;ZP10;23.10.2017;15
ND108;ZP20;8.5.2017;20
ND113;ZP30;4.7.2017;5
ND101;ZP30;2.12.2017;11
ND103;ZP30;16.3.2017;16
ND114;ZP20;30.1.2018;18
ND111;ZP10;13.1.2018;27
ND111;ZP10;15.3.2018;14
ND117;ZP10;10.10.2017;20
ND113;ZP20;7.4.2018;20
ND121;ZP30;13.9.2017;29
ND124;ZP20;3.1.2017;27
ND118;ZP10;3.3.2017;13
ND103;ZP20;30.10.2017;2
ND123;ZP20;26.1.2018;4
ND118;ZP20;17.7.2018;22
ND103;ZP20;6.11.2017;27
ND108;ZP20;12.1.2017;7
ND103;ZP20;12.5.2018;27
ND108;ZP30;18.4.2018;8
ND101;ZP20;26.5.2017;23
ND114;ZP10;17.11.2017;9
ND108;ZP30;3.6.2018;9
ND118;ZP10;25.10.2017;21
ND112;ZP20;15.5.2018;21
ND116;ZP30;26.2.2018;13
ND105;ZP30;1.1.2017;18
ND104;ZP20;17.5.2018;14
ND104;ZP30;4.3.2018;10
ND101;ZP20;6.7.2018;8
ND115;ZP30;26.2.2017;1
ND108;ZP10;27.11.2017;16
ND111;ZP30;27.3.2018;1
ND110;ZP20;11.12.2017;26
ND117;ZP30;25.1.2018;7
ND117;ZP20;1.11.2017;13
ND111;ZP30;4.1.2017;7
ND111;ZP30;29.6.2017;25
ND112;ZP30;31.8.2018;25
ND101;ZP20;28.5.2017;13
ND121;ZP30;26.8.2017;29
ND104;ZP30;7.4.2018;13
ND107;ZP20;21.11.2017;17
ND109;ZP30;8.4.2017;18
ND105;ZP30;11.1.2018;29
ND122;ZP30;25.3.2018;26
ND121;ZP10;27.8.2018;28
ND117;ZP30;27.11.2017;15
